Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1276284,-,-,-,41.57,-73.02,-5,185,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2015,1,1,0,0,0,0,-9,0.124,0.4,80.76,-7,990.0
2015,1,1,0,30,0,0,-9,0.124,0.4,80.75,-7,990.0
2015,1,1,1,0,0,0,-9,0.124,0.5,80.2,-7,990.0
2015,1,1,1,30,0,0,-9,0.124,0.5,74.27,-6,990.0
2015,1,1,2,0,0,0,-9,0.124,0.6000000000000001,74.24,-6,990.0
2015,1,1,2,30,0,0,-9,0.124,0.6000000000000001,74.23,-6,990.0
2015,1,1,3,0,0,0,-9,0.124,0.6000000000000001,75.09,-6,990.0
2015,1,1,3,30,0,0,-9,0.124,0.6000000000000001,75.09,-6,990.0
2015,1,1,4,0,0,0,-9,0.124,0.6000000000000001,79.56,-7,990.0
2015,1,1,4,30,0,0,-9,0.124,0.6000000000000001,79.58,-7,990.0
2015,1,1,5,0,0,0,-10,0.124,0.6000000000000001,77.63,-7,990.0
2015,1,1,5,30,0,0,-10,0.124,0.5,77.64,-7,990.0
2015,1,1,6,0,0,0,-10,0.124,0.5,76.19,-7,990.0
2015,1,1,6,30,0,0,-10,0.124,0.4,76.2,-7,990.0
2015,1,1,7,0,0,0,-10,0.124,0.4,76.0,-7,990.0
2015,1,1,7,30,0,0,-10,0.124,0.4,70.41,-6,990.0
2015,1,1,8,0,30,448,-10,0.124,0.5,72.42,-6,990.0
2015,1,1,8,30,43,607,-10,0.124,0.5,67.14,-5,990.0
2015,1,1,9,0,52,710,-10,0.124,0.6000000000000001,59.27,-4,990.0
2015,1,1,9,30,59,776,-10,0.124,0.6000000000000001,54.99,-3,990.0
2015,1,1,10,0,62,829,-11,0.124,0.7000000000000001,53.480000000000004,-3,990.0
2015,1,1,10,30,65,861,-11,0.124,0.7000000000000001,49.63,-2,990.0
2015,1,1,11,0,68,880,-10,0.124,0.7000000000000001,51.33,-2,990.0
2015,1,1,11,30,69,892,-10,0.124,0.7000000000000001,47.65,-1,990.0
2015,1,1,12,0,71,890,-10,0.124,0.7000000000000001,50.28,-1,990.0
2015,1,1,12,30,144,454,-10,0.124,0.7000000000000001,46.72,0,990.0
2015,1,1,13,0,71,862,-9,0.124,0.7000000000000001,50.15,0,990.0
2015,1,1,13,30,68,838,-9,0.124,0.6000000000000001,50.13,0,990.0
2015,1,1,14,0,65,795,-8,0.124,0.6000000000000001,54.44,0,990.0
2015,1,1,14,30,60,743,-8,0.124,0.6000000000000001,54.42,0,990.0
2015,1,1,15,0,53,657,-7,0.124,0.6000000000000001,59.27,-1,990.0
2015,1,1,15,30,42,540,-7,0.124,0.6000000000000001,59.26,-1,990.0
2015,1,1,16,0,25,355,-6,0.124,0.6000000000000001,67.66,-1,990.0
2015,1,1,16,30,0,0,-6,0.124,0.6000000000000001,67.66,-1,990.0
2015,1,1,17,0,0,0,-5,0.124,0.6000000000000001,69.89,-1,990.0
2015,1,1,17,30,0,0,-5,0.124,0.6000000000000001,69.89,-1,990.0
2015,1,1,18,0,0,0,-5,0.124,0.7000000000000001,71.28,-1,990.0
2015,1,1,18,30,0,0,-5,0.124,0.7000000000000001,71.29,-1,990.0
2015,1,1,19,0,0,0,-5,0.124,0.7000000000000001,72.75,-1,990.0
2015,1,1,19,30,0,0,-5,0.124,0.6000000000000001,72.75,-1,990.0
2015,1,1,20,0,0,0,-4,0.124,0.6000000000000001,74.74,-1,990.0
